Source,CH1
Second,Volt
-0.00386640010,1.52000,
-0.00386600010,1.52000,
-0.00386560010,1.52000,
-0.00386520009,1.50000,
-0.00386480009,1.52000,
-0.00386440009,1.52000,
-0.00386400009,1.52000,
-0.00386360008,1.52000,
-0.00386320008,1.50000,
-0.00386280008,1.52000,
-0.00386240007,1.52000,
-0.00386200007,1.52000,
-0.00386160007,1.52000,
-0.00386120006,1.52000,
-0.00386080006,1.50000,
-0.00386040006,1.50000,
-0.00386000006,1.50000,
-0.00385960005,1.50000,
-0.00385920005,1.50000,
-0.00385880005,1.50000,
-0.00385840004,1.48000,
-0.00385800004,1.48000,
-0.00385760004,1.48000,
-0.00385720003,1.50000,
-0.00385680003,1.48000,
-0.00385640003,1.52000,
-0.00385600002,1.48000,
-0.00385560002,1.48000,
-0.00385520002,1.52000,
-0.00385480002,1.50000,
-0.00385440001,1.46000,
-0.00385400001,1.50000,
-0.00385360001,1.48000,
-0.00385320000,1.48000,
-0.00385280000,1.48000,
-0.00385240000,1.48000,
-0.00385199999,1.46000,
-0.00385159999,1.46000,
-0.00385119999,1.44000,
-0.00385079999,1.46000,
-0.00385039998,1.46000,
-0.00384999998,1.44000,
-0.00384959998,1.46000,
-0.00384919997,1.42000,
-0.00384879997,1.44000,
-0.00384839997,1.42000,
-0.00384799996,1.42000,
-0.00384759996,1.46000,
-0.00384719996,1.44000,
-0.00384679995,1.40000,
-0.00384639995,1.42000,
-0.00384599995,1.44000,
-0.00384559995,1.44000,
-0.00384519994,1.40000,
-0.00384479994,1.42000,
-0.00384439994,1.40000,
-0.00384399993,1.40000,
-0.00384359993,1.38000,
-0.00384320016,1.40000,
-0.00384280016,1.42000,
-0.00384240015,1.40000,
-0.00384200015,1.38000,
-0.00384160015,1.36000,
-0.00384120014,1.38000,
-0.00384080014,1.38000,
-0.00384040014,1.38000,
-0.00384000014,1.38000,
-0.00383960013,1.36000,
-0.00383920013,1.36000,
-0.00383880013,1.34000,
-0.00383840012,1.36000,
-0.00383800012,1.36000,
-0.00383760012,1.34000,
-0.00383720011,1.36000,
-0.00383680011,1.32000,
-0.00383640011,1.34000,
-0.00383600011,1.34000,
-0.00383560010,1.32000,
-0.00383520010,1.32000,
-0.00383480010,1.32000,
-0.00383440009,1.32000,
-0.00383400009,1.30000,
-0.00383360009,1.32000,
-0.00383320008,1.34000,
-0.00383280008,1.32000,
-0.00383240008,1.30000,
-0.00383200007,1.28000,
-0.00383160007,1.30000,
-0.00383120007,1.28000,
-0.00383080007,1.26000,
-0.00383040006,1.28000,
-0.00383000006,1.28000,
-0.00382960006,1.26000,
-0.00382920005,1.28000,
-0.00382880005,1.24000,
-0.00382840005,1.26000,
-0.00382800004,1.24000,
-0.00382760004,1.24000,
-0.00382720004,1.24000,
-0.00382680004,1.22000,
-0.00382640003,1.22000,
-0.00382600003,1.22000,
-0.00382560003,1.22000,
-0.00382520002,1.22000,
-0.00382480002,1.22000,
-0.00382440002,1.20000,
-0.00382400001,1.20000,
-0.00382360001,1.20000,
-0.00382320001,1.18000,
-0.00382280000,1.18000,
-0.00382240000,1.18000,
